日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
2019-08-08,000906,中证800,CSI 800,600757,长江传媒,"Changjiang Publishing & Media Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600759,洲际油气,Geo-Jade Petroleum Corporation,SHH
2019-08-08,000906,中证800,CSI 800,600760,中航沈飞,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,SHH
2019-08-08,000906,中证800,CSI 800,600763,通策医疗,"Top Choice Medical Investment Co.,Inc.",SHH
2019-08-08,000906,中证800,CSI 800,600765,中航重机,Avic Heavy Machinery Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600770,综艺股份,Jiangsu Zongyi Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600777,新潮能源,XINCHAO ENERGY Corporation Limited,SHH
2019-08-08,000906,中证800,CSI 800,600779,水井坊,"Sichuan Swellfun Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600782,新钢股份,"Xinyu Iron & Steel Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600787,中储股份,"CMST Development Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600795,国电电力,GD Power Development Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600801,华新水泥,Huaxin Cement Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600804,鹏博士,"DR. PENG TELECOM&MEDIA GROUP CO., LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600808,马钢股份,Maanshan Iron and Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600811,东方集团,Orient Group Incorporation,SHH
2019-08-08,000906,中证800,CSI 800,600816,安信信托,"Anxin Trust Co., Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600820,隧道股份,Shanghai Tunnel Engineering Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600823,世茂股份,Shanghai Shi Mao Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600827,百联股份,"Shanghai Bailian Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600835,上海机电,Shanghai Mechanical & Electrical Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600837,海通证券,Haitong Securities Company Limited,SHH
2019-08-08,000906,中证800,CSI 800,600839,四川长虹,Sichuan Changhong Electric Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600845,宝信软件,Shanghai Baosight Software Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600848,上海临港,Shanghai Lingang Holdings Corporation Limited,SHH
2019-08-08,000906,中证800,CSI 800,600859,王府井,"Wangfujing Group Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600862,中航高科,"Avic Aviation High-Technology Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600863,内蒙华电,Inner Mongolia Mengdian Huaneng Thermal Power Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600867,通化东宝,"Tonghua Dongbao Pharmaceutical Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600869,智慧能源,"Far East Smarter Energy Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600872,中炬高新,"Jonjee Hi-Tech Industrial and Commercial Holding Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600874,创业环保,Tianjin Capital Environmental Protection Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600875,东方电气,Dongfang Electric Corporation Limited,SHH
2019-08-08,000906,中证800,CSI 800,600879,航天电子,"China Aerospace Times Electronics Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600881,亚泰集团,Jilin Yatai (Group) Co Ltd,SHH
